利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/29,az-market-10111627,ワイジェイカード・PayPayカード決済手数料,,121,0,121
2022/06/29,az-market-10111626,カード決済手数料,,81,0,81
2022/06/29,az-market-10111624,ゆっくり払い決済手数料,,168,16,184
2022/06/29,az-market-10111622,PayPay決済手数料,,75,7,82
2022/06/29,az-market-10111618,カード決済手数料,,65,0,65
2022/06/29,az-market-10111615,ワイジェイカード・PayPayカード決済手数料,,66,0,66
2022/06/29,az-market-10111614,PayPay決済手数料,,128,12,140
2022/06/29,az-market-10111591,ゆっくり払い決済手数料,,448,44,492
2022/06/29,az-market-10111644,カード決済手数料,,65,0,65
2022/06/29,az-market-10111562,PayPay決済手数料,,92,9,101
2022/06/29,az-market-10111641,カード決済手数料,,65,0,65
2022/06/29,az-market-10111639,カード決済手数料,,4257,0,4257
2022/06/29,az-market-10111638,カード決済手数料,,116,0,116
2022/06/29,az-market-10111636,カード決済手数料,,81,0,81
2022/06/29,az-market-10111635,PayPay決済手数料,,124,12,136
2022/06/29,az-market-10111642,PayPay決済手数料,,75,7,82
2022/06/29,az-market-10111632,カード決済手数料,,126,0,126
2022/06/29,az-market-10111631,PayPayあと払い決済手数料,,116,11,127
2022/06/29,az-market-10111625,PayPay決済手数料,,104,10,114
2022/06/29,az-market-10111623,PayPay決済手数料,,75,7,82
2022/06/29,az-market-10111621,ワイジェイカード・PayPayカード決済手数料,,68,0,68
2022/06/29,az-market-10111620,ゆっくり払い決済手数料,,113,11,124
2022/06/29,az-market-10111619,ワイジェイカード・PayPayカード決済手数料,,61,0,61
2022/06/29,az-market-10111617,ワイジェイカード・PayPayカード決済手数料,,58,0,58
2022/06/29,az-market-10111616,PayPay決済手数料,,61,6,67
2022/06/29,az-market-10111624,PayPayモール掲載料,,81,8,89
2022/06/29,az-market-10111624,PayPayモール掲載料,,60,6,66
2022/06/29,az-market-10111613,PayPayモール掲載料,,108,10,118
2022/06/29,az-market-10111618,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111642,PayPayモール掲載料,,68,6,74
2022/06/29,az-market-10111614,PayPayモール掲載料,,119,11,130
2022/06/29,az-market-10111626,PayPayモール掲載料,,68,6,74
2022/06/29,az-market-10111629,PayPayモール掲載料,,82,8,90
2022/06/29,az-market-10111632,PayPayモール掲載料,,108,10,118
2022/06/29,az-market-10111622,PayPayモール掲載料,,68,6,74
2022/06/29,az-market-10111620,PayPayモール掲載料,,97,9,106
2022/06/29,az-market-10111639,PayPayモール掲載料,,3600,360,3960
2022/06/29,az-market-10111637,PayPayモール掲載料,,105,10,115
2022/06/29,az-market-10111630,PayPayモール掲載料,,108,10,118
2022/06/29,az-market-10111616,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111641,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111623,PayPayモール掲載料,,68,6,74
2022/06/29,az-market-10111638,PayPayモール掲載料,,100,10,110
2022/06/29,az-market-10111636,PayPayモール掲載料,,68,6,74
2022/06/29,az-market-10111631,PayPayモール掲載料,,108,10,118
2022/06/29,az-market-10111615,PayPayモール掲載料,,60,6,66
2022/06/29,az-market-10111621,PayPayモール掲載料,,105,10,115
2022/06/29,az-market-10111633,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111634,PayPayモール掲載料,,100,10,110
2022/06/29,az-market-10111562,PayPayモール掲載料,,86,8,94
2022/06/29,az-market-10111628,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111635,PayPayモール掲載料,,100,10,110
2022/06/29,az-market-10111635,PayPayモール掲載料,,15,1,16
2022/06/29,az-market-10111640,PayPayモール掲載料,,68,6,74
2022/06/29,az-market-10111617,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111627,PayPayモール掲載料,,111,11,122
2022/06/29,az-market-10111644,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111625,PayPayモール掲載料,,97,9,106
2022/06/29,az-market-10111619,PayPayモール掲載料,,56,5,61
2022/06/29,az-market-10111591,PayPayモール掲載料,,133,13,146
2022/06/29,az-market-10111591,PayPayモール掲載料,,133,13,146
2022/06/29,az-market-10111591,PayPayモール掲載料,,119,11,130
2022/06/29,az-market-10111624,PRオプション利用料,,135,13,148
2022/06/29,az-market-10111624,PRオプション利用料,,100,10,110
2022/06/29,az-market-10111613,PRオプション利用料,,360,36,396
2022/06/29,az-market-10111618,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111642,PRオプション利用料,,114,11,125
2022/06/29,az-market-10111614,PRオプション利用料,,488,48,536
2022/06/29,az-market-10111626,PRオプション利用料,,114,11,125
2022/06/29,az-market-10111629,PRオプション利用料,,136,13,149
2022/06/29,az-market-10111632,PRオプション利用料,,360,36,396
2022/06/29,az-market-10111622,PRオプション利用料,,114,11,125
2022/06/29,az-market-10111620,PRオプション利用料,,323,32,355
2022/06/29,az-market-10111639,PRオプション利用料,,6000,600,6600
2022/06/29,az-market-10111637,PRオプション利用料,,175,17,192
2022/06/29,az-market-10111630,PRオプション利用料,,360,36,396
2022/06/29,az-market-10111616,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111641,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111623,PRオプション利用料,,114,11,125
2022/06/29,az-market-10111638,PRオプション利用料,,332,33,365
2022/06/29,az-market-10111636,PRオプション利用料,,114,11,125
2022/06/29,az-market-10111631,PRオプション利用料,,360,36,396
2022/06/29,az-market-10111615,PRオプション利用料,,100,10,110
2022/06/29,az-market-10111621,PRオプション利用料,,175,17,192
2022/06/29,az-market-10111633,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111634,PRオプション利用料,,332,33,365
2022/06/29,az-market-10111562,PRオプション利用料,,143,14,157
2022/06/29,az-market-10111628,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111635,PRオプション利用料,,332,33,365
2022/06/29,az-market-10111635,PRオプション利用料,,25,2,27
2022/06/29,az-market-10111640,PRオプション利用料,,114,11,125
2022/06/29,az-market-10111617,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111627,PRオプション利用料,,367,36,403
2022/06/29,az-market-10111644,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111625,PRオプション利用料,,323,32,355
2022/06/29,az-market-10111619,PRオプション利用料,,184,18,202
2022/06/29,az-market-10111591,PRオプション利用料,,545,54,599
2022/06/29,az-market-10111591,PRオプション利用料,,545,54,599
2022/06/29,az-market-10111591,PRオプション利用料,,488,48,536
2022/06/29,az-market-10111624,アフィリエイト手数料,,8,1,9
2022/06/29,az-market-10111624,アフィリエイトパートナー報酬原資,,27,0,27
2022/06/29,az-market-10111624,アフィリエイト手数料,,6,1,7
2022/06/29,az-market-10111624,アフィリエイトパートナー報酬原資,,20,0,20
2022/06/29,az-market-10111614,アフィリエイト手数料,,12,1,13
2022/06/29,az-market-10111614,アフィリエイトパートナー報酬原資,,40,0,40
2022/06/29,az-market-10111632,アフィリエイト手数料,,11,1,12
2022/06/29,az-market-10111632,アフィリエイトパートナー報酬原資,,36,0,36
2022/06/29,az-market-10111637,アフィリエイト手数料,,11,1,12
2022/06/29,az-market-10111637,アフィリエイトパートナー報酬原資,,35,0,35
2022/06/29,az-market-10111630,アフィリエイト手数料,,11,1,12
2022/06/29,az-market-10111630,アフィリエイトパートナー報酬原資,,36,0,36
2022/06/29,az-market-10111631,アフィリエイト手数料,,11,1,12
2022/06/29,az-market-10111631,アフィリエイトパートナー報酬原資,,36,0,36
2022/06/29,az-market-10111635,アフィリエイト手数料,,10,1,11
2022/06/29,az-market-10111635,アフィリエイトパートナー報酬原資,,33,0,33
2022/06/29,az-market-10111635,アフィリエイト手数料,,2,0,2
2022/06/29,az-market-10111635,アフィリエイトパートナー報酬原資,,5,0,5
2022/06/29,az-market-10111644,アフィリエイト手数料,,5,1,6
2022/06/29,az-market-10111644,アフィリエイトパートナー報酬原資,,18,0,18
2022/06/28,az-market-10111596,ストアポイント原資,,48,4,52
2022/06/28,az-market-10111608,ストアポイント原資,,18,1,19
2022/06/28,az-market-10111597,ストアポイント原資,,32,3,35
2022/06/28,az-market-10111595,ストアポイント原資,,22,2,24
2022/06/28,az-market-10111411,ストアポイント原資,,110,10,120
2022/06/28,az-market-10111592,ストアポイント原資,,27,2,29
2022/06/28,az-market-10111485,ストアポイント原資,,22,2,24
2022/06/28,az-market-10111601,ストアポイント原資,,91,9,100
2022/06/28,az-market-10111604,ストアポイント原資,,28,2,30
2022/06/28,az-market-10111612,ストアポイント原資,,40,3,43
2022/06/28,az-market-10111593,ストアポイント原資,,23,2,25
2022/06/28,az-market-10111594,ストアポイント原資,,273,27,300
2022/06/28,az-market-10111598,ストアポイント原資,,18,1,19
2022/06/28,az-market-10111602,ストアポイント原資,,32,3,35
2022/06/28,az-market-10111603,ストアポイント原資,,27,2,29
2022/06/28,az-market-10111606,ストアポイント原資,,28,2,30
2022/06/28,az-market-10111599,ストアポイント原資,,2400,240,2640
2022/06/28,az-market-10111607,ストアポイント原資,,22,2,24
2022/06/28,az-market-10111609,ストアポイント原資,,23,2,25
2022/06/28,az-market-10111490,ストアポイント原資,,182,18,200
2022/06/28,az-market-10111605,ストアポイント原資,,22,2,24
2022/06/28,az-market-10111610,ストアポイント原資,,29,2,31
2022/06/28,az-market-10111600,ストアポイント原資,,1000,100,1100
2022/06/28,az-market-10111596,キャンペーン原資,,71,7,78
2022/06/28,az-market-10111608,キャンペーン原資,,26,2,28
2022/06/28,az-market-10111597,キャンペーン原資,,50,4,54
2022/06/28,az-market-10111595,キャンペーン原資,,34,3,37
2022/06/28,az-market-10111411,キャンペーン原資,,164,16,180
2022/06/28,az-market-10111592,キャンペーン原資,,40,4,44
2022/06/28,az-market-10111485,キャンペーン原資,,34,3,37
2022/06/28,az-market-10111601,キャンペーン原資,,28,2,30
2022/06/28,az-market-10111604,キャンペーン原資,,41,4,45
2022/06/28,az-market-10111612,キャンペーン原資,,60,6,66
2022/06/28,az-market-10111593,キャンペーン原資,,35,3,38
2022/06/28,az-market-10111594,キャンペーン原資,,82,8,90
2022/06/28,az-market-10111598,キャンペーン原資,,26,2,28
2022/06/28,az-market-10111602,キャンペーン原資,,49,4,53
2022/06/28,az-market-10111603,キャンペーン原資,,40,4,44
2022/06/28,az-market-10111606,キャンペーン原資,,41,4,45
2022/06/28,az-market-10111599,キャンペーン原資,,3600,360,3960
2022/06/28,az-market-10111607,キャンペーン原資,,34,3,37
2022/06/28,az-market-10111609,キャンペーン原資,,35,3,38
2022/06/28,az-market-10111490,キャンペーン原資,,55,5,60
2022/06/28,az-market-10111605,キャンペーン原資,,34,3,37
2022/06/28,az-market-10111610,キャンペーン原資,,42,4,46
2022/06/28,az-market-10111600,キャンペーン原資,,1500,150,1650
2022/06/28,az-market-10111612,PayPay決済手数料,,88,8,96
2022/06/28,az-market-10111610,ワイジェイカード・PayPayカード決済手数料,,94,0,94
2022/06/28,az-market-10111601,PayPayあと払い決済手数料,,61,6,67
2022/06/28,az-market-10111598,PayPay決済手数料,,57,5,62
2022/06/28,az-market-10111411,PayPay決済手数料,,364,36,400
2022/06/28,az-market-10111608,PayPay決済手数料,,57,5,62
2022/06/28,az-market-10111605,PayPay決済手数料,,75,7,82
